# ID	Galaxy	Morphology	z	E(B-V)	PA	b/a	SN	Type	RA_offset	DEC_offset	Separation
  32	"NGC5378"	"SB(r)a"	0.010147	0.013	9.5	0.78	"1991ak"	"Ia"	-28.0	-19.0	34.1
  100	"NGC5406"	"SAB(rs)bc"	0.017352	0.011	17.9	0.94	"PSN J14002117+3854517"	"II"	+5.0	+3.0	4.9
  33	"NGC5421"	"P"	0.026315	0.015	82.4	0.81	"2012T"	"Ia-pec"	+3.5	-3.4	17.3
  122	"NGC5425"	"Sd"	0.006918	0.018	38.5	0.35	"2011ck"	"IIP"	-14.8	+7.3	16.1
  34	"NGC5480"	"SA(s)c?"	0.006191	0.019	89.6	0.82	"1988L"	"Ib"	+3.0	+14.0	10.7
  123	"NGC5525"	"S0"	0.018523	0.022	109.1	0.36	"2009gf"	"Ia"	-31.0	-8.5	32.0
  124	"NGC5557"	"E1"	0.010737	0.006	120.3	0.94	"1996aa"	"Ia"	-5.0	+3.0	4.2
  125	"NGC5559"	"SBd"	0.017232	0.02	152.1	0.33	"2001co"	"Ibc-pec"	-13.5	-12.6	18.4
  126	"NGC5587"	"S0/a"	0.007682	0.023	73.1	0.32	"2006dy"	"Ia"	+10.0	+9.0	14.1
  35	"NGC5611"	"S0"	0.006721	0.012	149.7	0.53	"2012ei"	"Ia"	+14.1	+5.8	13.1
  36	"NGC5630"	"Sdm:"	0.008856	0.011	178.2	0.52	"2006am"	"IIn"	+7.5	+6.8	10.3
  77	"NGC5668"	"SA(s)d"	0.00526	0.037	108.5	0.92	"1954B"	"Ia"	-2.0	-20.0	20.3
  38	"NGC5682"	"SB(s)b"	0.007581	0.033	37.7	0.4	"2005ci"	"II"	-0.6	+6.1	7.0
  39	"NGC5714"	"Scd?"	0.007462	0.015	172.9	0.26	"2003dr"	"Ib/c-pec"	-3.7	-13.9	14.9
  127	"NGC5732"	"Sbc"	0.012502	0.015	130.4	0.56	"ASASSN-14jf"	"II"	+8.2	-17.6	20.0
  40	"NGC5735"	"SB(rs)bc"	0.012482	0.017	135.4	0.99	"2006qp"	"IIb"	-35.0	-10.0	35.3
  41	"NGC5772"	"SA(r)b?"	0.016345	0.018	125.7	0.55	"2002ee"	"IIP"	+18.3	+33.9	44.6
  42	"NGC5829"	"SA(s)c"	0.018797	0.044	169.7	0.96	"2008B"	"IIn"	+23.0	+7.0	23.6
  43	"NGC5888"	"SB(s)bc"	0.029123	0.023	59.5	0.61	"2007Q"	"II"	+14.5	-13.8	14.8
  46	"NGC5980"	"S"	0.013649	0.035	103.9	0.43	"2004ci"	"II"	-10.1	-2.3	8.6
  128	"NGC6063"	"Scd?"	0.0095	0.041	62.5	0.56	"1999ac"	"Ia-pec"	+23.9	-29.8	38.3
  49	"NGC6146"	"E?"	0.02942	0.009	170.0	0.99	"2009fl"	"Ia"	-2.3	-13.2	13.8
  50	"NGC6166"	"cD2 pec"	0.030354	0.012	123.8	0.95	"2009eu"	"Ia"	+32.7	+7.8	31.4
  101	"NGC6166"	"cD2 pec"	0.030354	0.012	123.8	0.95	"PS15aot"	"Ia-91bg"	+1.5	-8.6	8.5
  51	"NGC6173"	"E"	0.0293	0.007	53.1	0.77	"2009fv"	"Ia"	-7.8	-0.4	7.7
  52	"NGC6186"	"SB(s)a"	0.009797	0.047	154.0	0.68	"2011gd"	"Ib"	+2.9	+0.9	2.9
  72	"NGC6643"	"SA(rs)c"	0.00495	0.06	118.0	0.87	"2008ij"	"II"	+23.0	-11.0	24.3
  94	"NGC6786"	"SB?"	0.025017	0.141	147.9	0.99	"2004ed"	"II"	-1.8	-9.8	9.1
  96	"NGC7253"	"S?"	0.014987	0.066	144.1	0.47	"2002jg"	"Ia"	-20.0	-13.1	20.5
  54	"NGC7311"	"Sab"	0.01512	0.131	103.2	0.48	"2005kc"	"Ia"	+7.6	-7.4	10.8
  74	"NGC7319"	"SB(s)bc_pec"	0.022507	0.078	57.5	0.89	"1971P"	"I"	+27.0	-18.0	32.9
  55	"NGC7321"	"SB(r)b"	0.023833	0.046	99.8	0.74	"2008gj"	"Ic"	+7.6	+37.0	37.6
  57	"NGC7364"	"S0/a pec"	0.016228	0.06	157.8	0.77	"2009fk"	"Ia"	-6.7	+1.5	7.2
  97	"NGC7469"	"SAbc"	0.016317	0.069	40.4	0.83	"2008ec"	"Ia"	+13.7	-7.4	15.4
  130	"NGC7619"	"E"	0.012549	0.072	116.5	0.85	"1970J"	"Ia"	-27.0	-30.0	37.0
  131	"NGC7691"	"SAB(rs)bc"	0.013479	0.062	79.1	0.98	"2014az"	"IIP"	-22.0	+18.0	28.4
  75	"NGC7771"	"SB(s)a"	0.014267	0.074	160.5	0.43	"2003hg"	"II"	-11.5	-3.9	10.3
  107	"MCG-01-09-006"	"SB(rs)cd?"	0.028977	0.066	107.5	0.32	"2005eq"	"Ia"	+15.9	+26.3	30.3
  109	"MCG-01-10-019"	"SAB(r)cd"	0.017505	0.05	105.7	0.72	"2001H"	"II"	+5.8	-2.9	4.6
  53	"MCG-01-54-016"	"S?"	0.009773	0.058	120.6	0.23	"2001ch"	"Ic"	-12.0	-14.0	14.6
  85	"MCG-02-02-086"	"SB0(r) pec?"	0.055672	0.037	64.0	0.59	"2003ic"	"Ia"	-2.1	-7.6	8.5
  2	"UGC00005"	"SABbc"	0.024253	0.041	140.1	0.55	"2000da"	"II"	+12.8	+9.3	15.1
  4	"UGC00139"	"SAB(s)c?"	0.013219	0.043	169.5	0.54	"1998dk"	"Ia"	+5.4	+3.1	6.4
  5	"UGC00148"	"S?"	0.014053	0.062	7.9	0.4	"2003ld"	"II"	+8.6	-1.3	8.2
  61	"UGC01087"	"SA(rs)c"	0.01496	0.054	6.5	0.98	"1999dk"	"Ia"	+4.1	+26.2	27.1
  87	"UGC01635"	"SAbc"	0.011755	0.055	51.3	0.96	"2003G"	"IIn"	+6.0	+9.8	11.8
  105	"UGC02134"	"Sb"	0.015297	0.151	8.2	0.51	"2011jf"	"Ibc"	+3.0	-1.0	37.2
  14	"UGC03151"	"S"	0.0146	0.496	7.0	0.38	"1995bd"	"Ia-pec"	+23.6	-1.6	23.6
  88	"UGC03555"	"SAB(rs)bc"	0.016128	0.087	135.7	0.98	"2004ge"	"Ic"	+6.2	-1.4	6.4
  82	"UGC04008"	"S0/a"	0.030751	0.047	74.7	0.62	"2007R"	"Ia"	-1.9	-3.9	30.4
  62	"UGC04036"	"SAB(r)b?"	0.011575	0.027	67.6	0.97	"1995E"	"Ia"	+7.0	-22.0	23.5
  63	"UGC04107"	"SA(rs)c"	0.011688	0.042	161.0	0.97	"1997ef"	"Ic"	+10.0	-20.0	24.1
  99	"UGC04132"	"Sbc"	0.017409	0.067	116.7	0.42	"2014ee"	"IIn"	-17.1	-14.0	24.9
  16	"UGC04132"	"Sbc"	0.017409	0.067	116.7	0.42	"2005en"	"II"	-5.8	+6.9	9.5
  111	"UGC04195"	"SB(r)b"	0.016305	0.05	111.0	0.71	"2000ce"	"Ia"	+15.1	+17.3	22.6
  90	"UGC04455"	"SB(r)a"	0.030908	0.034	107.8	0.82	"2007bd"	"Ia"	+7.6	+5.1	8.6
  119	"UGC04468"	"S0"	0.025227	0.03	74.0	0.34	"2006bb"	"Ia"	+3.6	-27.5	27.7
  64	"UGC05100"	"SB(s)b"	0.018393	0.038	44.0	0.88	"2002au"	"IIb"	-16.0	-13.6	20.6
  84	"UGC05129"	"Sa"	0.013539	0.022	13.9	0.6	"2001fe"	"Ia"	-13.5	-0.1	12.2
  121	"UGC05520"	"Scd"	0.011058	0.034	15.0	0.63	"2000L"	"II"	+6.9	-19.3	22.0
  132	"UGC06517"	"Sbc"	0.008309	0.029	124.2	0.72	"2006lv"	"Ibc"	+10.0	+12.0	15.3
  29	"UGC08250"	"Scd?"	0.017646	0.015	101.0	0.26	"2013T"	"Ia"	-5.8	-33.8	34.5
 134	"UGC09356"	"S?"	0.007419	0.027	15.2	0.46	"2011cj"	"IIP"	+4.4	+7.5	8.2
  45	"UGC09842"	"SBb"	0.029726	0.014	160.9	0.46	"2012as"	"IIn"	+30.9	+12.9	34.6
  47	"UGC10097"	"S0"	0.019887	0.018	45.4	0.44	"2004di"	"Ia"	-23.0	-11.0	26.0
  129	"UGC10123"	"Sab"	0.012575	0.013	147.5	0.36	"2014cv"	"IIP"	+8.0	+2.0	6.0
  48	"UGC10331"	"S pec"	0.014914	0.013	49.5	0.39	"2011jg"	"IIb"	-15.0	+17.0	24.5
  95	"UGC11975"	"S0/a"	0.020914	0.117	18.6	0.84	"2011fs"	"Ia"	-2.0	+34.0	33.9
